epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,365.981,0.47367,0.69297,0.26422,0.85924,0,0.99094,1,0.995,0.90875,0.99094,1,0.995,0.879,0.44664,1.09274,0.1796,0.82502,0,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,371.899,0.43696,0.68988,0.27559,0.86001,0,1,1,0.995,0.9101,1,1,0.995,0.86123,0.48841,1.1649,0.20424,0.83084,0,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,378.222,0.41147,0.68699,0.24782,0.83913,0,1,1,0.995,0.9101,1,1,0.995,0.86123,0.419,1.16398,0.17676,0.81854,0,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,384.036,0.4618,0.71088,0.24327,0.85404,0,1,1,0.995,0.9101,1,1,0.995,0.8824,0.45174,1.15519,0.18297,0.82402,0,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,390.124,0.45455,0.68889,0.25107,0.84676,0,1,1,0.995,0.94053,1,1,0.995,0.86773,0.42569,1.12356,0.19047,0.81714,0,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,395.915,0.47514,0.76238,0.28136,0.87547,0,0.99095,1,0.995,0.90713,0.99095,1,0.995,0.85357,0.4433,1.08324,0.20564,0.81546,0,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,402.12,0.44938,0.64165,0.26306,0.84124,0,0.99092,1,0.995,0.93517,0.99092,1,0.995,0.88613,0.41233,1.01961,0.18682,0.80442,0,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,408.037,0.42253,0.68451,0.24459,0.8669,0,0.99086,1,0.995,0.90713,0.99086,1,0.995,0.88613,0.42164,1.00268,0.18504,0.80432,0,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,414.441,0.48194,0.77934,0.27301,0.84763,0,1,1,0.995,0.8955,1,1,0.995,0.8824,0.49645,1.24145,0.20071,0.82202,0,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,420.485,0.40081,0.64292,0.24219,0.83893,0,1,1,0.995,0.91335,1,1,0.995,0.88565,0.47759,1.21387,0.20048,0.81069,0,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,426.809,0.4146,0.5923,0.23918,0.84301,0,0.99089,1,0.995,0.92079,0.99089,1,0.995,0.90279,0.47152,1.30424,0.19747,0.8168,0,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,432.787,0.4005,0.63915,0.24006,0.84305,0,0.9909,1,0.995,0.92079,0.9909,1,0.995,0.90279,0.43985,1.25763,0.20013,0.80676,0,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,439.427,0.39233,0.60082,0.22717,0.83597,0,0.99098,1,0.995,0.912,0.99098,1,0.995,0.895,0.44293,1.28823,0.18596,0.81752,0,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,445.425,0.39592,0.64419,0.24197,0.82842,0,0.991,1,0.995,0.912,0.991,1,0.995,0.912,0.43106,1.18032,0.18202,0.81131,0,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,452.066,0.42376,0.63783,0.24025,0.85104,0,1,1,0.995,0.9101,1,1,0.995,0.8586,0.47076,1.3798,0.19617,0.82897,0,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,458.236,0.3957,0.65932,0.22241,0.85046,0,1,1,0.995,0.9101,1,1,0.995,0.8826,0.44105,1.29287,0.17201,0.82024,0,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
